date,XLK,XLE,XLF,XLV,XLP,XLU,XLY,SPY,ret_XLK,ret_XLE,ret_XLF,ret_XLV,ret_XLP,ret_XLU,ret_XLY,ret_SPY,rf,excess_XLK,excess_XLE,excess_XLF,excess_XLV,excess_XLP,excess_XLU,excess_XLY,excess_SPY,VIX,DTB3,DFF,DGS10,CPIAUCSL,USREC,regime,vix_regime
2018-01-02,29.8729190826416,25.74725914001465,23.88413619995117,72.72332763671875,45.31456756591797,20.1325798034668,46.275238037109375,236.56216430664065,,,,,,,,,5.634920634920634e-05,,,,,,,,,9.77,1.42,1.42,2.46,248.859,0,normal,low
2018-01-03,30.12209892272949,26.132856369018555,24.012454986572266,73.41917419433594,45.29854202270508,19.974422454833984,46.487701416015625,238.0584259033203,0.00830673216517308,0.014865207056180108,0.005358172280947482,0.009522921908706294,-0.0003537135730740104,-0.007886810757840035,0.004580789519603279,0.006305105949679479,5.515873015873015e-05,0.00825157343501435,0.014810048326021378,0.005303013550788752,0.009467763178547564,-0.0004088723032327406,-0.007941969487998765,0.004525630789444549,0.006249947219520749,9.15,1.39,1.42,2.44,248.859,0,normal,low
2018-01-04,30.27436828613281,26.29060935974121,24.2348747253418,73.5235595703125,45.42676544189453,19.808544158935547,46.640113830566406,239.06179809570312,0.00504233750955807,0.006018429521975399,0.009220046611498223,0.0014207629171085756,0.002826631469135421,-0.008339210034585154,0.0032731907266003724,0.004205957413068617,5.515873015873015e-05,0.00498717877939934,0.005963270791816669,0.009164887881339493,0.0013656041869498454,0.002771472738976691,-0.008394368764743884,0.0032180319964416424,0.004150798682909887,9.22,1.39,1.42,2.46,248.859,0,normal,low
2018-01-05,30.592750549316406,26.28009033203125,24.30331039428711,74.1498031616211,45.627140045166016,19.800827026367188,47.00961685180664,240.6549530029297,0.010461647374708782,-0.00040018595575164184,0.002819871164313259,0.008481520754322958,0.004401237391244539,-0.00038966196306899903,0.007891211987399949,0.006642089360946457,5.436507936507937e-05,0.010407282295343703,-0.0004545510351167212,0.0027655060849481796,0.008427155674957878,0.00434687231187946,-0.0004440270424340784,0.00783684690803487,0.006587724281581378,9.22,1.37,1.42,2.47,248.859,0,normal,low
2018-01-08,30.70811080932617,26.437833786010746,24.26909446716309,73.88018035888672,45.73933792114258,19.985998153686523,47.065040588378906,241.09506225585935,0.0037637447054921225,0.005984451299973159,-0.0014088630316413386,-0.0036428174141827085,0.002455997754786221,0.009308230222620395,0.0011782927409522692,0.0018271276032297834,5.674603174603175e-05,0.0037069986737460906,0.005927705268227127,-0.0014656090633873703,-0.0036995634459287404,0.002399251723040189,0.009251484190874364,0.0011215467092062375,0.0017703815714837517,9.52,1.43,1.42,2.49,248.859,0,normal,low
2018-01-09,30.62966537475586,26.371225357055664,24.457294464111328,74.74995422363281,45.67522430419922,19.789262771606445,47.15742492675781,241.6407012939453,-0.0025578194130675413,-0.0025226150724253493,0.00772480526222763,0.01170400330865462,-0.0014027005303081097,-0.009892429710353312,0.001960983879562672,0.0022606125820949785,5.634920634920634e-05,-0.0026141686194167475,-0.0025789642787745555,0.007668456055878423,0.011647654102305414,-0.0014590497366573161,-0.009948778916702518,0.0019046346732134658,0.0022042633757457723,10.08,1.42,1.42,2.55,248.859,0,normal,low
2018-01-10,30.52353858947754,26.339675903320312,24.6626033782959,74.6195068359375,45.450809478759766,19.573240280151367,47.12508010864258,241.27102661132807,-0.0034708530359663925,-0.0011970752443413168,0.008359549543833111,-0.001746641113030023,-0.004925382348020424,-0.010976164801510091,-0.0006861255833623403,-0.0015310241332571195,5.555555555555555e-05,-0.003526408591521948,-0.0012526307998968725,0.008303993988277556,-0.0018021966685855787,-0.004980937903575979,-0.011031720357065646,-0.0007416811389178959,-0.0015865796888126752,9.82,1.4,1.42,2.55,248.859,0,normal,low
2018-01-11,30.64811897277832,26.879512786865234,24.78236389160156,74.94132232666016,45.38669967651367,19.49994468688965,47.89180374145508,243.03140258789065,0.004073146306742714,0.020287998116422568,0.004844203732469854,0.004303479583407821,-0.0014115273192030209,-0.0037517125514732186,0.01613903222127444,0.0072697703886861476,5.595238095238095e-05,0.004017193925790333,0.020232045735470185,0.0047882513515174726,0.00424752720245544,-0.0014674797001554018,-0.0038076649324255995,0.01608307984032206,0.007213818007733766,9.88,1.41,1.42,2.54,248.859,0,normal,low
2018-01-12,30.828067779541016,27.13890838623047,25.004777908325195,75.51537322998047,45.40272521972656,19.38807678222656,48.51070785522461,244.61566162109372,0.005854277248184658,0.009604042012523184,0.008934656148333886,0.007630816119481132,0.0003530266525566539,-0.005753350724231332,0.012840176188950725,0.006497586977336489,5.595238095238095e-05,0.005798324867232277,0.009548089631570804,0.008878703767381506,0.0075748637385287506,0.00029707427160427296,-0.005809303105183713,0.012784223807998344,0.006441634596384108,10.16,1.41,1.42,2.55,248.859,0,normal,low
2018-01-16,30.70811080932617,26.795385360717773,24.93634414672852,75.8893814086914,45.611106872558594,19.34564208984375,48.1642951965332,243.779541015625,-0.0038987511058934388,-0.012738747356728197,-0.002740579370795082,0.0049405177579542325,0.004579128516203568,-0.002191099155754994,-0.0071665710968402685,-0.003423954280496133,5.674603174603175e-05,-0.003955497137639471,-0.012795493388474228,-0.002797325402541114,0.004883771726208201,0.004522382484457536,-0.002247845187501026,-0.0072233171285863,-0.003480700312242165,11.66,1.43,1.42,2.54,248.859,0,normal,low
2018-01-17,31.16954040527344,27.03025245666504,25.12453842163086,76.6200180053711,46.13204956054688,19.46522331237793,48.39524841308594,246.10313415527344,0.014914533449533973,0.008727015456130083,0.007518651362098172,0.009581602042633364,0.011356668055286345,0.006162274389178712,0.004783652621665357,0.009486396162736277,5.634920634920634e-05,0.014858184243184767,0.008670666249780877,0.0074623021557489655,0.009525252836284158,0.01130031884893714,0.006105925182829506,0.004727303415316151,0.009430046956387071,11.91,1.42,1.42,2.57,248.859,0,normal,low
